,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
0,0,Dr Vikas Yadav Yadav,Dentist,18.0,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",₹ 100,,MEDIDENT SUPERSPECIALITY DENTAL & POLY CLINIC,Najafgarh,,09:00 AM,01:00 PM,Delhi
1,1,Dr. Sandeep Kumar Jangra,Dentist,24.0,"MDS - Orthodontics, BDS, Certified Implantologist",₹ 500,₹ 300,The White Expert Dental Care,East Of Kailash,,09:30 AM,05:30 PM,Delhi
2,2,Dr. Ashok Yadav,Dentist,14.0,"MDS - Orthodontics, BDS",₹ 200,,Dr. Ashok's Dentistree,Gole Market,,10:00 AM,07:00 PM,Delhi
3,3,Dr. (Prof) Rachit Walia,Dentist,20.0,"MDS , BDS",₹ 500,₹ 500,K.V Dentals,Gulabi Bagh,,05:00 PM,08:00 PM,Delhi
4,4,Dr. Kultej Saluja,Dentist,32.0,"BDS, Certified Implantologist",₹ 300,₹ 500,Dentalservices,Lajpat Nagar,,09:30 AM,06:30 PM,Delhi
5,5,Dr. Devaanshu Dewan,Dentist,19.0,"BDS, BDS (Implantologist)",₹ 200,₹ 300,S.K Dental Care,Uttam Nagar,"Tooth Extraction, Gap ClosingNext ",10:15 AM,08:30 PM,Delhi
6,6,Dr. Shipra Rawal,Dentist,29.0,"BDS, Certified Implantologist",₹ 400,₹ 500,Dr.Rawal Dental Centre,Uttam Nagar,,05:00 PM,08:00 PM,Delhi
7,7,Dr. Aashish Pandit,Dentist,14.0,"BDS, MDS - Periodontics, Post-Graduate Certificate in Oral Implantology (PGCOI)",₹ 300,₹ 200,Dr. Pandit's Dental & Implant Center,Delhi,,09:30 AM,02:00 PM,Delhi
8,8,Dr. Avinash Singh,Dentist,21.0,"BDS, MDS",₹ 300,₹ 300,AMAR DENTAL CLINIC,Delhi,,10:00 AM,09:00 PM,Delhi
9,9,Dr. Vineet Kapoor,Dentist,16.0,"BDS (Implantologist), MDS - Periodontics",₹ 300,₹ 400,Cures 'n' Care Dental Clinic - Vasundhara,Vasundhara,"Gap Closing, Painful Teething, Toothache",10:30 AM,01:30 PM,Delhi
10,10,Dr. Amandeep Singh Arora,Dentist,13.0,MDS - Pedodontics,₹ 500,₹ 500,Dr. Aman's Tooth Town,Vasant Vihar,Teeth Cleaning,10:30 AM,08:00 PM,Delhi
11,11,Dr. Shri Krishna Kabra,Dentist,24.0,"MDS Prosthodontics, BDS",₹ 300,,Smile konnekt Dental Clinic,Delhi,,10:30 AM,01:30 PM,Delhi
12,12,Dr. Pankaj Rao,Dentist,18.0,"B.D.S, M.D.S Endodontist",₹ 500,₹ 500,oraa care smile dental clinic,Dwarka,"Root canal, Root Canal Treatment (RCT), Root Canal Treatment",03:00 PM,09:00 PM,Delhi
13,13,Dr. Rajeev Gupta,Dentist,29.0,BDS,₹ 500,₹ 200,Balaji Multispeciality Dental Centre,Paschim Vihar,"Painful Teething, Gap Closing, Bleeding GumsNext ",05:00 PM,08:00 PM,Delhi
14,14,Dr. Deepti Rajput,Dentist,17.0,"BDS, MDS",₹ 669,₹ 300,Bytes And Braces,Rajouri Garden,"Dental Fillings, Fillings, ImplantsNext ",05:00 PM,08:00 PM,Delhi
15,15,Dr. Rajnish K Jain M.D.S.,Dentist,23.0,MDS,₹ 400,,Dr. Rajnish K. Jain's Super Speciality Dental Clinic & Implant Centre,Pitampura,"Fillings, Root canal, Root Canal TreatmentNext ",06:00 PM,08:30 PM,Delhi
16,16,Dr. Sundeep Khurana,Dentist,26.0,BDS,₹ 400,₹ 150,,,"Stained Teeth, Dental Fillings, Teeth WhiteningNext ",04:30 PM,08:00 PM,Delhi
17,17,Dr. Priyank Jayna,Dentist,23.0,"MDS - Orthodontics, B.D.S.",₹ 750,,Jayna Dental Center,Connaught Place,,02:00 PM,05:30 PM,Delhi
18,18,Dr. Prof.Asheesh Gupta,Dentist,24.0,"MDS, Certificate in implantology, MDS",₹ 200,₹ 200,Dr. Gupta's Dental & Braces Clinic,Rohini,"Painful Teething, Mouth Sores, Teeth Cleaning",11:00 AM,01:30 PM,Delhi
19,19,Dr. Apoorv Mittal,Dentist,29.0,"Bachelor of Dental Surgery, Diploma in Hospital Administration, Diploma in Pharmacy",₹ 100,₹ 100,Shivam Hospital,Rohini Sector 16,,12:00 PM,02:00 PM,Delhi
20,20,Dr. Ashutosh Jha,Dentist,17.0,"BDS, B.D.S,B.sc.Hons,P.G.C.I.D,P.G.C.A.D",₹ 100,₹ 100,Hms Dental Clinic & Implant Centre,Madhu Vihar,,01:00 PM,04:00 PM,Delhi
21,21,Dr. Bhupendra Singh Rawat,Dentist,18.0,BDS,₹ 400,,Health Factor Multi Speciality Clinic,Hari Nagar,,06:00 PM,07:00 PM,Delhi
22,22,Dr. Sony Mishra,Dentist,22.0,"MDS, BDS",₹ 650,₹ 300,Smilekraft Multispeciality Dental Clinics,Delhi,"Braces for Adults and Teens, Dental Care, Dental ImplantsNext ",09:30 AM,02:00 PM,Delhi
23,23,Dr. Divya Swarup,Dentist,14.0,"MDS - Orthodontics & Dentofacial Orthopaedics, BDS (Implantologist)",₹ 400,₹ 300,,,,05:00 PM,09:00 PM,Delhi
24,24,Dr. Gaurav Jain,Dentist,23.0,"MFDS RCPS (Glasgow), MDS - Oral & Maxillofacial Surgery, BDS",₹ 600,₹ 500,Supreme Smile,Mayur Vihar Phase 1,"Fillings, Root canal, Root Canal Treatment",10:00 AM,02:30 PM,Delhi
25,25,Dr. Mahinder Singh Yadav,Dentist,20.0,"BDS, MDS - Orthodontics",₹ 500,,Shri Balaji Dental & Orthodontic Centre,Dwarka,Jaw ReshapingNext ,09:30 AM,01:30 PM,Delhi
26,26,Dr. Mayank Ashok,Dentist,14.0,"Orthodontist  BDS, MDS - Orthodontics & Dentofacial Orthopaedics",₹ 300,,Olive Dental Clinic,C R Park,Dental FillingsNext ,07:00 AM,01:30 PM,Delhi
27,27,Dr. Varun Dahiya,Dentist,21.0,"BDS, MDS(Periodontology)",₹ 500,₹ 100,,,"Braces for Adults and Teens, Implant Tooth Fixing, Dental Implant FixingNext ",10:00 AM,06:00 PM,Delhi
28,28,Dr. Aseem Arora,Dentist,22.0,BDS,₹ 500,,Dr J M Arora Dental Clinic,Alaknanda,,05:30 PM,08:30 PM,Delhi
29,29,Dr. Mohit Sachdeva,Dentist,16.0,BDS & Masters in Oral lasers,₹ 200,₹ 200,Rajdhani Dental Care Clinic,Preet Vihar,,09:00 AM,07:00 PM,Delhi
30,30,Dr. T. Chandan,Dentist,28.0,"MDS, BDS",₹ 500,₹ 300,Planet Dental,Saket,"Painful Teething, Toothache, Stained TeethNext ",05:00 PM,08:30 PM,Delhi
31,31,Dr. Ankit Sharma,Dentist,14.0,BDS,₹ 500,₹ 300,The Dental Hub and Implant Centre,Vasant Kunj,"Stained Teeth, Painful Teething, Cavities",05:00 PM,09:00 PM,Delhi
32,32,Dr. Priti A Kumar,Dentist,28.0,BDS,₹ 400,₹ 300,Madhav Dental Clinic,Kalkaji,"Toothache, Stained Teeth, Broken TeethNext ",10:30 AM,02:00 PM,Delhi
33,33,Dr. Rishabh S Gupta,Dentist,13.0,"BDS, M.Sc - Master of Oral Implantology (MOI)",₹ 400,₹ 100,,,,09:00 AM,08:00 PM,Delhi
34,34,"Dr. Arun Kant, Mds",Dentist,13.0,"BDS, MDS Prosthodontics and Implantology",₹ 200,₹ 100,Naturopathy & Dental,Dwarka Sector 7,,,,Delhi
35,35,Dr. Adosh Lall,Dentist,30.0,"MDS , BDS",₹ 300,,Dr Lalls Dental Specialities,Pitampura,,05:30 PM,08:30 PM,Delhi
36,36,Dr. Atul Jain,Dentist,13.0,BDS,₹ 100,₹ 400,,,,10:00 AM,02:00 PM,Delhi
37,37,Dr. Varun Gera,Dentist,13.0,BDS,₹ 300,₹ 200,The Dental Hub and Implant Centre,Vasant Kunj,"Broken Teeth, Painful Teething, Swollen GumsNext ",10:00 AM,08:30 PM,Delhi
38,38,Dr. Geeta Sahani,Dentist,28.0,BDS,₹ 500,₹ 300,Dr.Sahani Clinic,Punjabi Bagh,Root canalNext ,06:00 PM,08:00 PM,Delhi
39,39,Dr. Neha Dixit,Dentist,15.0,MDS,₹ 200,,Kamla Dixit DENTAL Care Center,Delhi,,06:00 PM,08:30 PM,Delhi
40,40,Dr. Sumit Munjal,Dentist,26.0,PG in Laser Dentistry,₹ 400,,munjals superspecialty dental & orthodontic centre,Mehrauli,,09:30 AM,07:30 PM,Delhi
41,41,Dr. Vineet Kumar Singh,Dentist,14.0,BDS,₹ 200,₹ 200,Singh Dental & Smile Design Centre,Mahavir Enclave,"Root canal, Teeth Cleaning",09:30 AM,09:00 PM,Delhi
42,42,Dr. Puneet Dara,Dentist,22.0,BDS,,₹ 300,Dara's Dental Center,Lajpat Nagar,,10:30 AM,06:00 PM,Delhi
43,43,Dr. Nitin Rastogi,Dentist,19.0,BDS,₹ 250,,,,,09:30 AM,02:00 PM,Delhi
44,44,Dr. Hitesh Arora,Dentist,17.0,"M.D.S., BDS",₹ 300,₹ 300,DENTELLE Clinic,Lajpat Nagar,,10:00 AM,08:00 PM,Delhi
45,45,Dr. Gagan Khanna,Dentist,20.0,"MDS Prosthodontics, BDS",₹ 300,₹ 500,,,Wisdom Tooth RemovalNext ,05:00 PM,09:00 PM,Delhi
46,46,Dr. Atul Goel,Dentist,21.0,BDS,₹ 300,₹ 300,Goel Dental  Centre,Paschim Vihar,,09:30 AM,01:30 PM,Delhi
47,47,Dr. Vinod Khanna,Dentist,14.0,"BDS, MDS Prosthodontics",₹ 500,₹ 100,Complete Dental Care,Ramesh Nagar,Root canal,05:00 PM,09:00 PM,Delhi
48,48,Dr. Siddhartha Pujari,Dentist,22.0,"MDS Endodontist, BDS",₹ 700,,Smileoracles Multispeciality Dental Clinic,Greater Kailash 2,,10:00 AM,01:00 PM,Delhi
49,49,Dr. Neeraj Kapila,Dentist,29.0,"BDS, FICD",₹ 500,₹ 600,Carewell Dental Clinic,Mayur Vihar,,05:00 PM,08:00 PM,Delhi
50,50,Dr Sunakshi Singh,Dermatologist,15.0,"MD - Dermatology, MBBS",,,,,"Acne/Pimples, Pimples, Hair LossNext ",12:30 PM,06:30 PM,Delhi
51,51,Dr. Lipy Gupta,Dermatologist,19.0,"MD - Dermatology , Venereology & Leprosy, MBBS",,₹ 800,Green Park Family Medicine Clinic,Green Park,"Pimples, Hair Fall, Acne/PimplesNext ",04:00 PM,06:30 PM,Delhi
52,52,Dr. Suruchi Puri,Dermatologist,24.0,"MBBS, MD (Skin & V.D. MAMC) - Dermatology",,,,,"Pimples, Hair Loss, Hair FallNext ",11:00 AM,08:00 PM,Delhi
53,53,Dr. A.K.Chatterjee,Dermatologist,48.0,"MBBS, DVD",₹ 700,₹ 600,Chatterjee Skin Care Center,Yamuna Vihar,"Acne/Pimples, Skin Infections, Skin TreatmentNext ",06:30 PM,08:30 PM,Delhi
54,54,Dr. Sandeep Gupta The Dermatologist,Dermatologist,20.0,"MBBS, MD - Dermatology, observership Dermatosurgery IADVL",₹ 700,,₹ 1,800 onlineBalaji Skin Clinic,"Acne/Pimples, Pimples, Hair FallNext ",05:30 PM,08:00 PM,Delhi
55,55,Dr. Mudasir Rashid Khan,Dermatologist,30.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Dermatology",₹ 700,₹ 600,Lush Skin & Hair Clinic,Jasola,,11:00 AM,07:00 PM,Delhi
56,56,Dr. Deepti Shrivastava,Dermatologist,34.0,"PG Dip Dermatology, Fellowship in Aesthetic Medicine, MBBS",,,,,"Greying Hair, Black Spots on Skin, PimplesNext ",04:00 PM,06:30 PM,Delhi
57,57,Dr. Sandesh Gupta,Dermatologist,29.0,"MBBS, Diploma in Venerology & Dermatology (DVD)",₹ 400,₹ 400,Skin N Laser Centre,Krishna Nagar,"Pimples, Acne/Pimples, Hair FallNext ",11:00 AM,02:30 PM,Delhi
58,58,Dr. Sanjeev Jain,Dermatologist,32.0,MD,₹ 600,,Dr Sanjeev Jain Skin Care Clinic,Daryaganj,,08:30 AM,02:00 PM,Delhi
59,59,Dr. Amit Seth,Dermatologist,29.0,"MD, MBBS",,,,,"Advanced Skin Care, Skin Care, Acne Scars TreatmentNext ",10:30 AM,07:00 PM,Delhi
60,60,Dr. Pankaj Chaturvedi,Dermatologist,19.0,"MD, MBBS",,,,,"Hair Loss, Hair Treatment, AllergyNext ",10:00 AM,08:00 PM,Delhi
61,61,Dr. Munish Paul,Dermatologist,30.0,"MD-Dermatology, MBBS",,,,,"Pimples Treatment, Pimples, Acne / Pimples TreatmentNext ",11:00 AM,06:00 PM,Delhi
62,62,Dr. Jyoti Sharma,Dermatologist,21.0,"MD - Dermatology, MBBS",,₹ 300,Vardaan Skin and Bone Clinic,Rohini,"Acne / Pimples Treatment, Pimples, Hair LossNext ",10:00 AM,02:30 PM,Delhi
63,63,Dr. A V Singh,Dermatologist,31.0,"MD, DVD, MBBS",₹ 600,₹ 300,SKIN CARE,Dwarka,"Hair Loss, Hair Fall, Hair TreatmentNext ",05:00 PM,07:00 PM,Delhi
64,64,Isaac - International Skin & Anti Ageing Centre,Dermatologist,24.0,ISAAC,,,,,"Acne/Pimples, Hair Loss, Black Spots on Skin",10:00 AM,07:00 PM,Delhi
65,65,Dr. Gaurav Garg,Dermatologist,18.0,"Fellow In Dermato - Surgery, Fellow In Hair Transplant Surgery, MD - Dermatology, MBBS",,₹ 800,Dermalife Clinic,Green Park,"Hair Loss, Baldness, Hair Growth",11:00 AM,12:30 PM,Delhi
66,66,Dr. Geetika Mittal Gupta,Dermatologist,19.0,"Post Graduate Diploma Practical Dermatology, MBBS",,,,,"Laser Hair Removal, Growing beard",10:00 AM,07:00 PM,Delhi
67,67,Dr. Rohit Batra,Dermatologist,25.0,"MD - Dermatology, MBBS",,,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",05:30 PM,08:00 PM,Delhi
68,68,Dr. Neeraj Kumar,Dermatologist,14.0,"MBBS, MD - Dermatology",₹ 800,₹ 800,Magical Morphers Pvt Ltd,Delhi,"Hair Loss, Hair Fall, Acne/Pimples",05:00 PM,08:00 PM,Delhi
69,69,Looks Forever Hair And Skin Aesthetic Clinic,Dermatologist,23.0,Dermatologist,₹ 200,₹ 299,,,"Hair Loss, Hair Loss, Hair Transplant",11:00 AM,06:00 PM,Delhi
70,70,Dr. Himanshu Gupta,Dermatologist,19.0,"Fellow of ACSI , Fellow of IADVL , MD - Dermatology, Venereology & Leprosy, MBBS",₹ 400,₹ 500,Skin Konnect Ghaziabad,Naya Ganj,"Hair Loss, Skin Whitening, PimplesNext ",07:00 PM,08:30 PM,Delhi
71,71,Dr. Manju Keshari,Dermatologist,30.0,"MBBS, MD - Dermatology , Venereology & Leprosy",₹ 800,,₹ 2,000 onlineKemps Skin Clinic,"Pimples, Pigmentation, Skin InfectionsNext ",04:00 PM,06:00 PM,Delhi
72,72,Dr. Jangid,Dermatologist,11.0,MD,,,,,"Pimples, Acne/Pimples, Hair GrowthNext ",10:30 AM,06:30 PM,Delhi
73,73,Dr. Dharamvir Singh,Dermatologist,17.0,"MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Hair Loss, Hair Fall, Acne/PimplesNext ",11:30 AM,05:30 PM,Delhi
74,74,Dr. Rajesh Aggarwal,Dermatologist,22.0,"MD - Dermatology, MBBS",₹ 800,₹ 700,Dr. Rajesh Aggarwal's Skin Hair Nail Laser Clinic,Rohini,"Hair Loss, Pimples Treatment, Hair FallNext ",06:00 PM,09:00 PM,Delhi
75,75,Dr. Varun Tyagi,Dermatologist,15.0,"MD - Dermatology , Venereology & Leprosy",₹ 800,₹ 500,Perfect Tyagi Hospital,Dilshad Garden,"Laser Hair Removal, Ear Lobe Repair, ColonoscopyNext ",06:00 PM,08:00 PM,Delhi
76,76,Dr. Kanu Verma,Dermatologist,22.0,"MBBS, MD - Dermatology",₹ 600,₹ 600,Aastha Medicare,Dwarka Sector 12A,"Acne/Pimples, Greying Hair, Acne ScarsNext ",11:00 AM,12:30 PM,Delhi
77,77,Dr. Latika Arya,Dermatologist,31.0,"MBBS, MD - Dermatology",,,,,"Pimples, Acne/Pimples, Hair LossNext ",03:00 PM,05:30 PM,Delhi
78,78,Dr. Nivedita Dadu,Dermatologist,21.0,"MBBS, Diploma In Dermatology And Venerology And Leprosy (DDVL), DNB (Dermatology), MNAMS",,,,,"Pimples, Acne/Pimples, Hair FallNext ",09:00 AM,06:00 PM,Delhi
79,79,Dr. Alka Gupta,Dermatologist,37.0,"MBBS, MD - Dermatology",₹ 500,,Gupta Skin Clinic,Janakpuri,"Allergy, Pimples TreatmentNext ",05:00 PM,08:30 PM,Delhi
80,80,Dr. S. K. Kashyap,Dermatologist,21.0,"MD - Dermatology, MBBS",₹ 600,₹ 300,Kashyap Skin Clinic,Dwarka,"Hair Growth, Ear Lobe Repair, Removal of CornsNext ",11:00 AM,01:30 PM,Delhi
81,81,Dr. Anuj Saigal,Dermatologist,16.0,"MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Hair Transplant, Acne Scars, Skin Care",10:30 AM,05:00 PM,Delhi
82,82,Dr. Sanjeev Gulati,Dermatologist,31.0,"MD, MBBS",,₹ 500,Rayz Skin & Aesthetic Clinic,Sukhdev Vihar,"Hair Treatment, Acne Scars, CryotherapyNext ",06:00 PM,08:30 PM,Delhi
83,83,Dr. Nitin S Walia,Dermatologist,38.0,"DNB (Dermatology), MD - Dermatology , Venereology & Leprosy, MBBS",,,,,"Pimples Treatment, Pimples, Acne / Pimples TreatmentNext ",11:00 AM,12:00 PM,Delhi
84,84,Dr. Rajeev Vij,Dermatologist,24.0,"MBBS, MD - Dermatology",₹ 800,₹ 800,Skin VD & Cosmetic Clinic,Delhi,Acne ScarsNext ,06:00 PM,08:30 PM,Delhi
85,85,Dr. Navneet Bansal,Dermatologist,28.0,"D.V.D, MBBS",₹ 500,₹ 500,Dermacare Wholistic Clinic,Dwarka,"Pimples, Hair Growth, Vitiligo",11:00 AM,01:00 PM,Delhi
86,86,Dr. Akhilesh Sharma,Dermatologist,14.0,"MBBS, DNB (Skin & VD)",₹ 300,₹ 400,Absolute Skin Hair & Laser Center,Najafgarh,,04:00 PM,05:00 PM,Delhi
87,87,Dr. Shivali Sethi,Dermatologist,20.0,"D.D.V.L, F.A.C.S.I, M.B.B.S",₹ 500,₹ 350,Laser Skin Hair Nail Clinic,Gujranwala Town,"Hair Growth, Hair Loss, Hair FallNext ",10:30 AM,01:30 PM,Delhi
88,88,Dr. Deepti Dhillon,Dermatologist,21.0,"MBBS, DDV, Aesthetic medicine",,₹ 500,Appleskin Clinic,Delhi,VitiligoNext ,12:00 PM,04:00 PM,Delhi
89,89,Dr. Puneet Aggarwal,Dermatologist,24.0,"MD - Dermatology, MBBS",₹ 400,₹ 700,Deepak Memorial Hospital & Medical Research Centre,Vikas Marg,,10:00 AM,11:00 AM,Delhi
90,90,Dr. Ramanjit Singh,Dermatologist,33.0,"M.B.B.S, M.D. (Dermatology, Venereology & Leprosy)",,,,,"Skin Care, Pimples, Acne / Pimples TreatmentNext ",02:00 PM,04:30 PM,Delhi
91,91,Dr. Pooja Aggarwal,Dermatologist,15.0,MD - Dermatology,,,,,,10:00 AM,02:00 PM,Delhi
92,92,Dr. Gunjan Agarwal,Dermatologist,14.0,MD - Dermatology,₹ 500,₹ 800,R.S Child and Skin Care Centre,Rohini,,06:00 PM,08:00 PM,Delhi
93,93,Dr. Tushar Opneja,Dermatologist,18.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, Diploma In Dermatology And Venerology A...read more",₹ 600,₹ 600,Regenix Clinic,Mayur Vihar Phase 1,"Hair Growth, Dark Skin, Hair Fall",12:00 PM,07:30 PM,Delhi
94,94,Dr. Nirupama  Parwanda,Dermatologist,16.0,"Diploma in Practical Dermatology, MD - Dermatology , Venereology & Leprosy, MBBS",,₹ 700,Zolie Skin Clinic,Kailash Colony,"Acne/Pimples, Acne Scars, AllergyNext ",10:30 AM,07:00 PM,Delhi
95,95,Dr. Garima Singh,Dermatologist,14.0,"MBBS, MD - Dermatology",₹ 500,₹ 500,Apex Multispeciality Hospital And Skin Clinic,Chhatarpur,,11:00 AM,02:00 PM,Delhi
96,96,Dr. Shikhar Ganjoo,Dermatologist,11.0,"Fellowship in Pediatric Dermatology, MD - Dermatology , Venereology & Leprosy, DNB (Dermatology)",,,,,"Acne/Pimples, Hair Fall, Hair LossNext ",07:00 PM,09:00 PM,Delhi
97,97,Dr. Renu Madan,Dermatologist,26.0,"MD, MBBS",₹ 400,,₹ 1,000 onlineAyushman Hospital,"Pimples, Wart Removal, Pimples TreatmentNext ",11:00 AM,01:00 PM,Delhi
98,98,Dr. Nipun Jain,Dermatologist,22.0,MD - Dermatology,₹ 600,₹ 800,AURA SKIN COSMETOLOGY CLINIC,Dwarka,"Hair Loss, Skin Treatment, Facial AestheticsNext ",07:30 PM,09:00 PM,Delhi
99,99,Dr. Lori Kaushik Issar,Dermatologist,13.0,M.Sc - Clinical Dermatology,₹ 500,₹ 400,,,"Pimples, Pimples Treatment, Acne / Pimples TreatmentNext ",10:30 AM,01:00 PM,Delhi
100,100,Dr. Nutri Kalp Clinic,Dietitian/Nutritionist,32.0,"Master Of Science ( Home Science)  , B.Sc",₹ 500,₹ 200,Nutri Kalp - Rohini,Rohini,"Weight Loss, Gaining Weight, Weight Loss",09:30 AM,06:30 PM,Delhi
101,101,Dt. Diets And More,Dietitian/Nutritionist,11.0,Diploma in Diet and Nutrition,,₹ 700,,,"Weight Loss, Diet Chart, Weight Loss Treatment",11:00 AM,09:00 PM,Delhi
102,102,Dr. Swarnshikha Sharma,Dietitian/Nutritionist,16.0,"Doctrate In Dietetics, PhD - Psychology",₹ 300,₹ 829,Rising Health,Delhi,"Weight Loss, Weight Loss, Diet Chart",12:00 PM,08:00 PM,Delhi
103,103,Dt. Ritika Dua,Dietitian/Nutritionist,24.0,"BSc-Diet & Nutrition, M.Sc-Diet & Nutrition",,,,,,09:00 AM,09:00 PM,Delhi
104,104,Mrs. Kritika Bhola,Dietitian/Nutritionist,19.0,"BHOM, MD - Alternate Medicine, Diploma in Weight Loss, Diploma in Nutrition, DNHE",₹ 500,₹ 500,Curewell Therapies,Sultanpur,"Gaining Weight, Weight Loss, Ketogenic DietNext ",04:00 PM,08:00 PM,Delhi
105,105,Ms. Divya Gandhi,Dietitian/Nutritionist,12.0,"Diploma In Diet & Nutrition, Diploma In Dietitics, Health & Nutrition",,₹ 250,Divya Gandhi's Diet N Cure Clinic,Ashok Vihar,"Weight Loss, Gaining Weight, Weight Loss Treatment",10:00 AM,04:00 PM,Delhi
106,106,Dt. Raminder Deshmukh,Dietitian/Nutritionist,33.0,PG Diploma in Dietetics and Public health Nutrition,,₹ 400,Journey To Health,Rajouri Garden,"Weight Loss, Weight LossNext ",10:00 AM,07:00 PM,Delhi
107,107,Dt. Rashima Arora,Dietitian/Nutritionist,18.0,"BSc-Food and Applied Nutrition, PG in Clinical Nutrition and Dietetics, Intertionally Cert...read more",₹ 500,₹ 350,Dr.Ajay's Dental & Nutrition Clinic,Rohini Sector 7,,09:30 AM,01:30 PM,Delhi
108,108,Dt. Shweta Diwan,Dietitian/Nutritionist,19.0,"Diploma in Dietetics and Nutrition, Diploma in Diet and Nutrition, Diploma in Paediatric N...read more",,₹ 300,Shweta's Slimage Diet Clinic,Punjabi Bagh,"Weight Loss, Weight Loss, AnorexiaNext ",08:30 AM,04:30 PM,Delhi
109,109,Dt. Megha Gupta,Dietitian/Nutritionist,13.0,,₹ 500,,₹ 1,500 onlineCure & Curves Diet Clinic,Weight LossNext ,09:00 AM,08:00 PM,Delhi
110,110,Dt. Deepika Kohli,Dietitian/Nutritionist,26.0,,₹ 500,₹ 300,Life Care Centre,Krishna Nagar,Diabetic Diet CounselingNext ,06:00 PM,08:00 PM,Delhi
111,111,Dt. Sonia  Narang,Dietitian/Nutritionist,27.0,"M.Sc, Internship From AIIMS - Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",,₹ 300,Sonia Narang's Diet & Wellness Clinics - Janakpuri,Chander Nagar,,09:30 AM,05:30 PM,Delhi
112,112,Dr. Lochan Arora,Dietitian/Nutritionist,13.0,,₹ 500,₹ 300,Veda Physiotherapy & Nutrition Clinic,Derawal Nagar,"Foot Pain, Knee Injury, PhysiotherapyNext ",04:30 PM,08:00 PM,Delhi
113,113,Diet Clinic,Dietitian/Nutritionist,21.0,"B.Sc.(Hons), P.G.Dietetics",₹ 750,₹ 250,,,"Weight Loss, Weight Loss, Weight Loss Treatment",09:00 AM,05:00 PM,Delhi
