,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
114,114,Dt. Nidhi Chandra,Dietitian/Nutritionist,12.0,"Certified Diabetes Educator, Diploma In Sports Nutrition, Diploma in Yoga, IDEEL",₹ 800,₹ 300,Pathya Wellness - GK I,Greater Kailash,"Weight Loss, Gaining Weight, Diet ChartNext ",04:00 PM,06:00 PM,Delhi
115,115,Dt. Nidhi Sawhney,Dietitian/Nutritionist,15.0,"Nutrition & Dietetics, Dietetics",,₹ 300,Dt. Nidhi Sawhney's Nutri Advice,Gulmohar Park,Weight Loss,09:30 AM,01:30 PM,Delhi
116,116,Dt. Kanika Khanna,Dietitian/Nutritionist,18.0,"M.Sc in Food & Nutrition, BSC in Clinical Nutrition & Dietitics",,₹ 350,DIETOFY SOLUTIONS,Rajouri Garden,,10:00 AM,06:00 PM,Delhi
117,117,Dt. Nehha Ahuja,Dietitian/Nutritionist,16.0,"PG Diploma Nutrition & Dietetics, B.Sc - Home Science",₹ 500,₹ 300,Diet Centre,Patel Nagar,"Weight Loss, Weight Loss, Gaining WeightNext ",03:30 PM,08:30 PM,Delhi
118,118,Dt. Divya Chadha,Dietitian/Nutritionist,12.0,"Bachelor of Science in Nutrition and Dietetics, Diploma in Diet and Nutrition",₹ 500,₹ 310,Health And U By Divya Chadha,Janakpuri,,10:00 AM,07:00 PM,Delhi
119,119,Dt. Srishti Shukla,Dietitian/Nutritionist,12.0,"BSC (Home Science), Clinical of Nutrition, DNHE, DDHN",₹ 500,₹ 250,Shrya Specialist Polyclinic,Delhi,,10:00 AM,01:00 PM,Delhi
120,120,Dt. Seema Singh,Dietitian/Nutritionist,19.0,,₹ 500,,₹ 1,250 onlineVidhyawati Nursing Home,,09:00 AM,06:00 PM,Delhi
121,121,Dt. Arpita  B. Acharya,Dietitian/Nutritionist,31.0,,₹ 500,₹ 450,,,,09:00 AM,03:00 PM,Delhi
122,122,Dr. Megha Mukhija,Dietitian/Nutritionist,11.0,,₹ 500,,₹ 1,000 onlineHealth Mania - Rohini,"Obesity, Diabetic Diet Counseling, Weight LossNext ",10:30 AM,01:30 PM,Delhi
123,123,Dt. Neha Jain,Dietitian/Nutritionist,18.0,,,₹ 500,The Diet Do's,Karkardooma,"Weight Loss, Weight Loss Treatment, Diet PlanningNext ",05:00 PM,08:00 PM,Delhi
124,124,Dt. Shweta Sharma,Dietitian/Nutritionist,21.0,Certificate In Food & Nutrition,₹ 500,,,,,09:00 AM,05:00 PM,Delhi
125,125,Dt. Seema Singh,Dietitian/Nutritionist,24.0,MSC FOODS AND NUTRITION,,,,,Sports NutritionNext ,07:00 AM,07:00 AM,Delhi
126,126,Dr. Shalini Singhal,Dietitian/Nutritionist,28.0,"Ph.D(Clinical Nutrition), M.Sc(Foods&Nutrition",,,,,"Weight Loss Treatment, Weight LossNext ",12:00 PM,05:00 PM,Delhi
127,127,Dr. Suneet Khanna,Dietitian/Nutritionist,41.0,,,,,,"Weight Loss Treatment, Diet Planning, Diet Chart",09:30 AM,11:30 AM,Delhi
128,128,Dr. Ekta Jain,Dietitian/Nutritionist,20.0,"Diploma in Diet,Health & Nutritions, MSc - Food and Applied Nutrition",₹ 800,₹ 800,GoDiets Clinic,Karkardooma,"Weight Loss, Weight Loss, Weight Loss Diet Counseling",10:00 AM,05:00 PM,Delhi
129,129,Dr. Sunita Attray,Dietitian/Nutritionist,9.0,"Diploma In Dietetics,Health & Nutrition",₹ 500,₹ 300,Avni Healthcare Centre,Rohini,,04:00 PM,06:00 PM,Delhi
130,130,Dt. Shelly Singhal,Dietitian/Nutritionist,9.0,Diploma in Diet and Nutrition,₹ 500,₹ 223,,,,07:00 AM,09:00 PM,Delhi
131,131,Dt. Mansi Saxena,Dietitian/Nutritionist,13.0,,,,,,,08:00 AM,08:30 AM,Delhi
132,132,Dt. Himanshu Rai,Dietitian/Nutritionist,17.0,MSC NUTRITIONAL SCIENCES,₹ 800,,₹ 1,000 onlineTHINKYOU.IN,,10:30 AM,07:30 PM,Delhi
133,133,Dt. Neeru Dawra,Dietitian/Nutritionist,8.0,Diploma In DDHE,₹ 500,₹ 300,ND DIET & NUTRITION CLINIC,Rohini Sector 11,,06:00 PM,08:00 PM,Delhi
134,134,Dt. Kusum Surana,Dietitian/Nutritionist,50.0,MBBS,₹ 500,₹ 500,Dr. Surana Eye Tech,Hauz Khas,,06:30 PM,07:30 PM,Delhi
135,135,Dr. Monika Arora,Dietitian/Nutritionist,22.0,"B.Sc - Home Science , PG - Diploma In Nutrition & Dietcics",₹ 700,₹ 300,Indus Health,Pitampura,"Diet Planning, Diet Chart, Weight ManagementNext ",10:00 AM,01:00 PM,Delhi
136,136,Dt. Priyanka Panwar,Dietitian/Nutritionist,18.0,M.Sc. - Dietitian,₹ 500,₹ 200,Rising Health (On Call),Lajpat Nagar,"Gaining Weight, Weight Loss, Diet PlanningNext ",10:00 AM,07:00 PM,Delhi
137,137,Dr. Ruchi Bhatia,Dietitian/Nutritionist,21.0,Diploma in Diet and Nutrition,₹ 200,,Ruchi Bhatia Diet Studio,Lajpat Nagar,,09:00 AM,03:00 PM,Delhi
138,138,Dt. Punita Srivastava,Dietitian/Nutritionist,13.0,"M.SC In Clinical Nutrition & Dietetics, PGCDE Certifies Diabetes Educator",,₹ 300,Apollo Hospital,Sarita Vihar,,10:00 AM,05:00 PM,Delhi
139,139,Dt. Lata Sharma,Dietitian/Nutritionist,26.0,,₹ 750,,iDiets,Patparganj,,05:00 PM,08:00 PM,Delhi
140,140,Dt. Diksha Gulati,Dietitian/Nutritionist,11.0,"BSc - Food & Nutrition, Post Graduation Diploma In Dietetics & Public Health Nutrition, Di...read more",,₹ 350,Diet Plate,Model Town,,06:00 PM,08:00 PM,Delhi
141,141,Dt. Monica Kapur,Dietitian/Nutritionist,31.0,"Certification In Nutrition & Weight Management, B.Com, Certificate In Food & Nutrition",,₹ 300,Dr. Monica's Diet Clinic,Pitampura,,12:00 PM,07:00 PM,Delhi
142,142,Dt. Deepak Bhanot,Dietitian/Nutritionist,14.0,DNHE,₹ 500,₹ 200,,,,10:00 AM,07:00 PM,Delhi
143,143,Dt. Pallavi Dua,Dietitian/Nutritionist,6.0,,₹ 500,₹ 200,Surgical Center For Obesity And Diabetes,Delhi,,10:00 AM,05:00 PM,Delhi
144,144,Dr. Richa Garg,Dietitian/Nutritionist,21.0,"Bachelor of Ayurveda, Medicine and Surgery (BAMS)",,₹ 300,Arogyam Nutrition,Rohini,,09:00 AM,05:00 PM,Delhi
145,145,Dt. Priti Bhatia,Dietitian/Nutritionist,18.0,MSC Food & Nutrition,₹ 700,₹ 700,De' Health Planet,Dwarka Sector 6,,11:00 AM,08:00 PM,Delhi
146,146,Dt. Rakhi Khurana,Dietitian/Nutritionist,27.0,Bsc - Home Science,,₹ 300,Diet Care N Cure,Ashok Vihar,,09:00 AM,02:00 PM,Delhi
147,147,Dt. Nidhi Bhalla,Dietitian/Nutritionist,28.0,"BSC, Diploma in Diet & Nutrition",₹ 500,₹ 300,Nidhi Bhalla Diet Clinic,Rohini,,09:30 AM,03:30 PM,Delhi
148,148,Dt. Shivani Sikri,Dietitian/Nutritionist,12.0,"Post Graduate Diploma in Nutrition & Dietetics, Post Graduate Diploma in Piblic Health Nutrition",,,,,Weight LossNext ,09:30 AM,07:00 PM,Delhi
149,149,Dr. Sugeeta Mutreja,Dietitian/Nutritionist,24.0,"BAMS, MBA (H.A), DNHE",,₹ 300,Aarogya Diets & Nutrition Clinic,Dwarka Sector 12,,09:00 AM,01:00 PM,Delhi
150,150,Dr. Anil Mehta,General+Physician,30.0,"MBBS, DNB (General Medicine)",₹ 500,₹ 700,Aakash Medical Centre,Sheikh Sarai,"Allergy, Allergy Treatment, Hair FallNext ",07:30 PM,08:30 PM,Delhi
151,151,Dr. Prakhar Singh,General+Physician,10.0,"MBBS, Basic Life Support (B.L.S), Advanced Cardiac Life Support, Fellow Of Academy Of Gene...read more",₹ 500,₹ 300,Sama hospital,Siri Fort,"Masturbation Addiction, Stomach Pain, Body Weakness",09:30 AM,10:30 AM,Delhi
152,152,Dr. Rajiva Gupta,General+Physician,44.0,"MBBS, MD - Internal Medicine, Post Graduate Program in Diabetology",,,,,"Masturbation Addiction, Stomach Pain, HeadachesNext ",04:00 PM,06:00 PM,Delhi
153,153,Dr. Hanish Gupta,General+Physician,21.0,"MBBS, DNB (General Medicine)",₹ 700,₹ 500,LifeAID Clinic,Mayur Vihar Phase 1,"Diabetes, Diabetes, Thyroid Disorders",07:30 AM,09:00 AM,Delhi
154,154,Dr. Amarpreet Singh Riar,General+Physician,19.0,"MBBS, PG Diploma In Emergency Trauma Care, Fellowship in Diabetes",,₹ 600,Aman Medical Clinic,Dwarka,"Allergy, Penis Pain, Cold CoughNext ",10:00 AM,02:00 PM,Delhi
155,155,Dr. Ajit  K Thakur,General+Physician,25.0,"MD - General Medicine, MBBS, IDCCM, IFCCM Critical Care",₹ 500,₹ 700,Al Shifa Hospital,Okhla,,05:30 PM,07:00 PM,Delhi
156,156,Dr. Ashish Khattar,General+Physician,24.0,"MBBS, MD - General Medicine, PG Diploma Diabetology, Post Graduate Diploma in Clinical End...read more",₹ 700,₹ 800,,,,06:00 PM,08:30 PM,Delhi
157,157,Dr. Vijay  Kansal,General+Physician,53.0,MBBS,₹ 600,₹ 300,Kalyan Poly Clinic,Pitampura,,04:00 PM,08:00 PM,Delhi
158,158,Dr. Utsav Sahu,General+Physician,9.0,MD - Medicine,,,,,Bladder InfectionsNext ,04:00 PM,08:00 PM,Delhi
159,159,Dr. Nikhil Aggarwal,General+Physician,9.0,"MBBS, MD - Anatomy",₹ 600,₹ 600,Medical care,Gujranwala Town,,04:30 PM,11:00 PM,Delhi
160,160,Dr. Neelam Nath,General+Physician,49.0,"Diploma in Obstetrics & Gynaecology, MBBS",₹ 200,₹ 300,Suneera Charitable Center,New Delhi,"Pregnancy, AbortionNext ",04:00 PM,07:00 PM,Delhi
161,161,Dr. Pratik Banerjee,General+Physician,35.0,MBBS,,,,,Neck PainNext ,08:30 AM,01:30 PM,Delhi
162,162,Dr. Rakesh Sharma,General+Physician,36.0,"DDF, FCCP, MD , MBBS",₹ 700,,₹ 1,000 onlineDr Rakesh Sharma’s Clinic,"Diabetes, Dizziness, ImmunizationsNext ",01:00 PM,06:00 PM,Delhi
163,163,Dr. Ritez Kumar,General+Physician,18.0,"MBBS, MD - Internal Medicine",₹ 600,,GLOBAL WELLNESS CENTRE,Dabri,"Headaches, Chest Pain, TuberculosisNext ",06:00 PM,09:00 PM,Delhi
164,164,Dr. Hariom Ahuja,General+Physician,45.0,"MD - Internal Medicine, MBBS",,₹ 400,Ahuja Clinic,Saket,,05:00 PM,06:30 PM,Delhi
165,165,Dr. Ramneek Varma,General+Physician,48.0,"MD-Internal Medicine , MBBS",,₹ 300,Sukhmani Hospital,Safdarjung Enclave,"Staying Healthy, Body Weakness, Alcoholic Liver DiseaseNext ",05:00 PM,06:00 PM,Delhi
166,166,Dr. Vipul Mohan,General+Physician,17.0,"MBBS, MD - General Medicine, Diploma In Cardiology",,,,,"Diabetes, Diabetes ManagementNext ",04:00 PM,08:00 PM,Delhi
167,167,Dr. Mohd. Sajid Khan,General+Physician,17.0,"MD, MBBS",₹ 200,₹ 200,Alshifa Hospital,Okhla,"Neck Pain, Stomach Pain, HeadachesNext ",03:00 PM,05:00 PM,Delhi
168,168,Dr. Rajesh Kumar Meena,General+Physician,19.0,"MD - Consultant Physician, Senior Resident-Emergency Medicine",,₹ 800,Moolchand Medcity,Lajpat Nagar,,11:00 AM,03:00 PM,Delhi
169,169,Dr. Suresh Mittal,General+Physician,40.0,"MD, MBBS",,,,,,04:00 PM,05:00 PM,Delhi
170,170,Dr. Satish Kumar Bhardwaj,General+Physician,33.0,Fellowship of College of General Practice (FCGP),,,,,,06:30 PM,08:00 PM,Delhi
171,171,Dr. Pankaj Kumar,General+Physician,19.0,"MBBS, DNB FAMILY MEDICINE",₹ 700,₹ 650,Diet Plus Minus,Delhi,,10:00 AM,02:00 PM,Delhi
172,172,Dr. Manish Gambhir,General+Physician,29.0,BAMS,₹ 200,₹ 700,Pushp Clinic,New Delhi,AllergyNext ,10:00 AM,01:30 PM,Delhi
173,173,Dr. Sanjeev Gupta,General+Physician,24.0,"MBBS, MD - Medicine, POST GRADUATE CLINICAL COURSE IN DIABETES MANAGEMENT",₹ 500,₹ 500,Dr. Sanjeev Clinc,Vaibhav Khand,"Chickenpox Treatment  , Diabetes, Neck Pain",09:00 AM,12:00 PM,Delhi
174,174,Dr. Sanchayan Roy,General+Physician,26.0,"DNB (Medicine), MBBS",,,,,"Headaches, Stomach Pain, SweatingNext ",09:00 AM,11:30 AM,Delhi
175,175,Dr. Manisha Roy,General+Physician,18.0,MBBS,₹ 500,₹ 300,Dr. Manisha,Delhi,"Erection Problems, Epilepsy, Neck PainNext ",10:00 AM,07:30 PM,Delhi
176,176,Dr. Aakash Kumar,General+Physician,7.0,"Bachelor of Ayurveda, Medicine and Surgery (BAMS), CMS & ED, MD, ACCM, ACDM",₹ 300,₹ 300,,,,12:00 PM,05:00 PM,Delhi
177,177,Dr. Ashok Grover,General+Physician,45.0,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), MD - General Medicine",,,,,"Gaining Weight, Hyperthyroidism, Underactive ThyroidNext ",10:00 AM,12:00 PM,Delhi
178,178,Dr. Arun  Jain,General+Physician,36.0,MBBS,₹ 500,₹ 500,Dr. Arun Jain's Clinic,Rohini,,09:00 AM,01:30 PM,Delhi
179,179,Dr. Bharat Bhushan Bharti,General+Physician,29.0,MD Physician,₹ 500,,Dr Bharti Clinic,Gulabi Bagh,,06:00 PM,09:00 PM,Delhi
180,180,Dr. Manoj Kumar Jha,General+Physician,29.0,"MBBS, MBA (Healthcare)",₹ 500,₹ 500,Dr Jha Online Consultation,Delhi,"Gastric Problem, Chikungunya, Neck Pain",09:00 AM,11:00 PM,Delhi
181,181,Dr. Nishi Nath Jha,General+Physician,39.0,"MBBS, MD - Medicine",₹ 500,₹ 900,Good Health Clinic,Shastri Nagar,,10:00 AM,02:00 PM,Delhi
182,182,Dr. Amit Singhal,General+Physician,18.0,"M.B.B.S., M.D.",₹ 450,₹ 200,Singhal Clinic,New Delhi,,10:00 AM,01:00 PM,Delhi
183,183,Dr. Garima,General+Physician,3.0,MNAMS (Membership of the National Academy) (Ophthalmology),₹ 300,,Private Practitioner,Sarita Vihar,"Allergy, Allergy TreatmentNext ",07:00 AM,04:30 PM,Delhi
184,184,Dr. Pulkit K.Varshney,General+Physician,12.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, Postgraduate Diploma Clinical Cardiolog...read more",₹ 500,₹ 500,Dr.Pulkits Family  Clinic And Diabetes Centre,Subhash Nagar,,10:00 AM,02:00 PM,Delhi
185,185,Dr. Dheeraj Khatri,General+Physician,18.0,MD,₹ 250,₹ 250,DD khatri family clinic,Shalimar Bagh,"Thyroid Problems Treatment, Allergy Treatment, AllergyNext ",06:00 PM,08:30 PM,Delhi
186,186,Dr. Vikram Jeet Singh,General+Physician,28.0,,,,,,,02:00 PM,05:00 PM,Delhi
187,187,Dr. Suman Nigam,General+Physician,41.0,MBBS,₹ 800,₹ 300,Dr. Suman Clinic,Vasant Kunj,,06:00 PM,08:00 PM,Delhi
188,188,Dr. Rachna Kucheria,General+Physician,31.0,"MBBS, MD - Medicine, MD - USC, California",,,,,,10:00 AM,03:00 PM,Delhi
189,189,Dr. A.P. Bhatia,General+Physician,35.0,"MD - Internal Medicine, MBBS",₹ 500,₹ 500,Dr. A.P. Bhatia Clinic,Krishna Nagar,,06:30 PM,07:30 PM,Delhi
190,190,Dr. Atul Kakar,General+Physician,35.0,"Fellowship in  Rheumatology, MNAMS, DNB (Internal Medicine), MBBS",,,,,"Allergy Treatment, AllergyNext ",04:00 PM,06:00 PM,Delhi
191,191,Dr. Yogesh Sehrawat,General+Physician,17.0,MD - General Medicine,,₹ 400,Siddharth Multispeciality Hospital,Bawana,Tuberculosis,,,Delhi
192,192,Dr. Sabyasachi Das,General+Physician,27.0,MBBS,₹ 300,,₹ 1,000 onlineDr Sabyasachi Das Clinic ( Samalka ),"Small Penis Size, HIV AIDS, Jaundice",04:00 PM,09:00 PM,Delhi
193,193,Dr. A.K. Kaushik,General+Physician,55.0,"MRCP, MBBS",₹ 800,₹ 600,Res. Cum Clinic,Janakpuri,,08:00 PM,09:00 PM,Delhi
194,194,Dr. Jagmohan Singh,General+Physician,49.0,MBBS,₹ 350,₹ 300,Dr. Jagmohan Singh Clinic,Kalkaji,RabiesNext ,10:00 AM,01:00 PM,Delhi
195,195,Dr. Ajay Arora,General+Physician,42.0,"Fellowship of College of General Practice (FCGP), MBBS",₹ 450,,Doctor Ajay Arora's Clinic And Diagnostix Path. Centre,New Delhi,,10:00 AM,01:00 PM,Delhi
196,196,Dr. A.K. Shukla,General+Physician,34.0,MD - Internal Medicine,₹ 850,₹ 500,,,"Diabetes, AsthmaNext ",07:30 PM,09:30 PM,Delhi
197,197,Dr. Rps Makkar,General+Physician,24.0,MD,₹ 600,₹ 600,,,Viral Fever Treatment,07:00 PM,09:00 PM,Delhi
198,198,Dr. Manish Jain,General+Physician,6.0,MBBS,,₹ 170,MediSeed,Delhi,,02:00 PM,08:00 PM,Delhi
199,199,Dr. S K Tyagi,General+Physician,42.0,"MBBS, MD - Medicine, SR(Cardiology), PGDHA",,₹ 300,Tyagi Nursing Home,Tilak nagar,,10:00 AM,02:00 PM,Delhi
200,200,Dr Naresh Agarwal,Orthopedist,17.0,,,,,,,05:00 PM,08:00 PM,Delhi
201,201,Dr Abhishek Bansal,Orthopedist,19.0,,,,,,,05:00 PM,08:00 PM,Delhi
202,202,Dr Kamal Bachani Bachani,Orthopedist,34.0,,,,,,"Knee Pain Treatment, Knee Pain, Finger Pain",05:00 PM,08:00 PM,Delhi
203,203,Dr. Hitin,Orthopedist,,,,,,,ACL Reconstruction,05:00 PM,08:00 PM,Delhi
204,204,Dr. Jitender Pal Singh,Orthopedist,25.0,MBBS,₹ 700,₹ 400,Dr J P Singh Bone And Joint Clinic,Punjabi Bagh,"Leg Pain, Foot Pain, Joint Pain",10:00 AM,07:00 PM,Delhi
205,205,Dr. Sujit Narayan,Orthopedist,20.0,,,,,,,05:00 PM,08:00 PM,Delhi
206,206,Dr. Saurabh Rawall,Orthopedist,19.0,"MBBS,  MS - Orthopaedics , FNB - Spine Surgery, Fellow in Spine Surgery,  Fellowship In Pa...read more",,₹ 500,Institutes Of Spine,Indraprastha Apollo Hospital,"Disk Slip, Shoulder SLAP (Tear) Lesions, Slip DiscNext ",12:00 PM,02:00 PM,Delhi
207,207,Dr. Sunny Chopra Orthopaedics Gold Medalist,Orthopedist,14.0,"MS - Orthopaedics, MNAMS (Membership of the National Academy) (General Surgery) , DNB (Ort...read more",₹ 500,₹ 400,Dr. Chopras Spine Joint Solutions India,Moti Nagar,,05:30 PM,08:30 PM,Delhi
208,208,Dr. Rakesh Kumar,Orthopedist,24.0,"MS - Orthopaedics, MBBS",₹ 500,₹ 500,Anuraksha Specialised Orthopaedic Clinic,Paschim Vihar,"Knee Pain, Shoulder Pain, Hand PainNext ",06:30 PM,08:00 PM,Delhi
209,209,Dr. Deepak Kumar Arora,Orthopedist,18.0,"MBBS, MS - Orthopaedics",₹ 500,₹ 300,Esskay Orthopaedic Centre,Krishna Nagar,"Knee Pain, Back Pain, Lower Back PainNext ",05:00 PM,08:00 PM,Delhi
210,210,Dr. Pankaj Gupta,Orthopedist,30.0,"M Ch. Ortho, MS - Orthopaedics, MBBS",₹ 600,₹ 500,Skin And Bones Clinic,Delhi,"Shoulder Pain, Hand Pain, Joint PainNext ",06:30 PM,09:00 PM,Delhi
211,211,Dr. Shekhar Srivastav,Orthopedist,30.0,"MBBS, MS - Orthopaedics, AO Fellowship",,₹ 800,Sant Parmanand Hospital,Civil Lines,"Ankle Pain Treatment, Joint PainNext ",02:00 PM,04:00 PM,Delhi
212,212,Dr. Sudhir Seth,Orthopedist,43.0,"MCh, DNB (Orthopedics), MS - Orthopaedics, MBBS",₹ 900,₹ 300,Dr. Sudhir Seth's Orthopoint,Chittaranjan Park,"Spine Injuries, Back Pain, Heel Pain",12:00 PM,03:00 PM,Delhi
213,213,Dr. Ashwani Maichand,Orthopedist,32.0,"Fellowship in Joint Replacement , M.Ch , MS - Orthopaedics, MBBS",,,,,"Knee replacement Treatment, Osteoarthritis, Knee PainNext ",05:00 PM,08:00 PM,Delhi
214,214,Dr. Neelabh,Orthopedist,34.0,"DNB (Orthopedics), Diploma in Orthopedics, MBBS",₹ 800,,₹ 1,200 onlineClinic Intermed,,06:00 PM,08:00 PM,Delhi
215,215,Dr. Vishal Nigam,Orthopedist,26.0,,,₹ 300,,,,09:00 AM,05:00 PM,Delhi
216,216,Dr. Gurinder Bedi,Orthopedist,36.0,"CCST(Internal Medicine), FRCS (Orth Surg), FRCS, MS - Orthopaedics, DNB Orthopedics, MBBS",,,,,"Back Pain, Foot Pain, Bone FractureNext ",05:00 PM,07:00 PM,Delhi
217,217,Dr. Subhash Shalya,Orthopedist,43.0,"MBBS, MS - Orthopaedics, MS - General Surgery",,,,,Orthopedic SurgeryNext ,10:00 AM,01:00 PM,Delhi
218,218,Dr. Deepak Thakur,Orthopedist,23.0,"M.CH. (Ortho), MS - Orthopaedics, MBBS",,₹ 700,Delhi Orthopedic Clinic,Karol Bagh,"Knee Pain, Shoulder Pain, Rheumatoid ArthritisNext ",06:00 PM,09:00 PM,Delhi
219,219,Dr. Suraj Prakash,Orthopedist,34.0,"M.Ch - Orthopaedics, Fellowship in Arthroscopy & Sports Medicine, MS - Orthopaedics, MBBS",₹ 900,₹ 300,Bone & Joint Clinic,Saket,"Back Pain, Foot Pain, Knee PainNext ",11:00 AM,01:30 PM,Delhi
220,220,Dr. Kunal Aneja,Orthopedist,11.0,"M.B.B.S., MS - Orthopaedics, DNB (Orthopedics), Diploma in Orthopaedics, Fellowships in Jo...read more",₹ 800,₹ 300,Naveda Healthcare Centre,New Delhi,Arthroscopy,10:30 AM,12:30 PM,Delhi
221,221,Dr. Gurdeep Singh Uppal,Orthopedist,48.0,"MBBS, Diploma In Orthopaedics, DNB (Orthopedics), MBA (HCA)",₹ 500,₹ 600,Ortho Care Clinic,Dwarka Sector 6,,05:00 PM,08:00 PM,Delhi
222,222,Dr. Suresh  Arora,Orthopedist,38.0,MS,₹ 400,,Surya Orthoedic & Trauma Centre,Vasant Kunj,"Joint Pain, Back PainNext ",06:00 PM,08:00 PM,Delhi
223,223,Dr. Abhishek Kumar Mishra,Orthopedist,25.0,"MS - Orthopaedics, MCH, Membership of the Royal College of Surgeons (MRCS), MBBS Bachelor ...read more",,,,,"Back Pain, Fracture Treatment, Lower Back PainNext ",06:00 PM,08:00 PM,Delhi
224,224,Dr. Prabhat Agarwal,Orthopedist,20.0,"MS - Orthopaedics, MBBS",₹ 400,₹ 300,Garg Hospital,Karkardooma,"Knee Pain Treatment, Knee Pain, Musculoskeletal DisordersNext ",05:00 PM,07:00 PM,Delhi
225,225,Dr. N C Gupta,Orthopedist,58.0,"MBBS, MS - Orthopaedics",₹ 500,₹ 500,Saroj Clinic,Roop Nagar,"Knee Pain Treatment, Knee Pain, Spinal SurgeryNext ",03:00 PM,08:45 AM,Delhi
226,226,Dr. Sunil Tuli,Orthopedist,40.0,"M. Ch. (Ortho), MS - Orthopaedics, Diploma In Orthopaedics (D. Ortho), MBBS",,,,,Orthopedic SurgeryNext ,05:30 PM,07:30 PM,Delhi
227,227,Apollo Spectra Hospitals,Orthopedist,,,,,,,,09:00 AM,09:00 PM,Delhi
228,228,Dr. Ashis Acharya,Orthopedist,22.0,"Fellowship, MS - Orthopaedics, MBBS",,₹ 350,Sir Ganga Ram Hospital,Rajender Nagar,"Knee Pain, Knee Pain, Joint PainNext ",06:00 PM,08:00 PM,Delhi
229,229,Dr. Atul Mishra,Orthopedist,28.0,"Fellowship In Joint Replacement, MS - Orthopaedics, MBBS",,₹ 700,Arthroplasty & Sports Injury Centre,Vikas Marg,,06:00 PM,09:00 PM,Delhi
230,230,Dr. Mandeep Singh,Orthopedist,22.0,"DNB (Orthopedics), M Ch. Ortho, Diploma In Orthopaedics (D. Ortho)",₹ 800,₹ 400,DELHI ORTHO & SPINE CLINIC,Rajouri Garden,,11:00 AM,01:00 PM,Delhi
