,Unnamed: 0,Name,Specialization,Experience (in years),Education,Fee at clinic,Online Fee,Clinic Name,Area,Recently Consulted for,Available From,Available Till,City
231,231,Dr. Tarush Rustagi,Orthopedist,20.0,"MBBS, MS - Orthopaedics, DNB (Orthopedics), Adult and pediatric Spine Fellowship, Complex ...read more",,₹ 500,Indian Spinal Injuries Centre,Vasant Kunj,,09:00 AM,04:00 PM,Delhi
232,232,Dr. Chandeep Singh,Orthopedist,26.0,"MS - Orthopaedics, MBBS",,₹ 800,,,"Joint Pain Treatment, Joint Pain, Ankle Injury TreatmentNext ",06:30 PM,08:00 PM,Delhi
233,233,Dr. Gaurav Khera,Orthopedist,21.0,"MBBS, Diploma In Orthopaedics (D. Ortho), DNB - Orthopedics, Mch, MCH",₹ 700,₹ 300,Dr. Khera's Wellness Clinic,Inderpuri,"Knee Pain, Leg Pain, Joint PainNext ",06:00 PM,09:00 PM,Delhi
234,234,Dr. Rajesh Bhalla,Orthopedist,21.0,"M Ch. Ortho, MS - Orthopaedics, MBBS",₹ 600,₹ 300,Delhi Heart And Lung Institute,Delhi,,10:00 AM,11:00 AM,Delhi
235,235,Dr. Atul Kumar Garg,Orthopedist,24.0,"MBBS, MS - Orthopaedics, Fellowship In Arthroscopy & Arthroplasty, Advanced Life trauma Su...read more",₹ 400,₹ 700,Dr. Atul Kumar Garg's Clinic,Rohini,,07:00 PM,09:00 PM,Delhi
236,236,Dr. Siddharth Gupta,Orthopedist,9.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, MS - Orthopaedics, DNB (Orthopedics)",₹ 800,₹ 300,Nulife Hospital & Maternity Center,Delhi,,05:30 PM,07:00 PM,Delhi
237,237,Dr. Abhimanyu Singh,Orthopedist,22.0,"MBBS, M. S. Orthopedics, M.ch. Orthopaedics, MD - Sports Medicine",₹ 300,₹ 300,Avni Healthcare,Delhi,"Hip Pain Treatment, Ankle Pain Treatment, Hip PainNext ",06:00 PM,06:30 PM,Delhi
238,238,Dr. S. Mahanta,Orthopedist,27.0,"MBBS, MS - Orthopaedics, DNB - Orthopedics, Fellowship Joint Replacement Surgery",₹ 600,₹ 700,The Bone Clinic,Dwarka Sector 6,,10:00 AM,01:00 PM,Delhi
239,239,Dr. Joginder Kumar,Orthopedist,25.0,"Msc( Sports Medicine ), M. Ch. (Ortho), MNAMS, DNB (Orthopedics), MBBS, Dip SEM",₹ 500,₹ 400,,,,,,Delhi
240,240,Dr. Sumit Garg,Orthopedist,18.0,"DNB (Orthopedics), Diploma In Orthopaedics (D. Ortho), MBBS",₹ 600,₹ 300,Jagmohan Bone & Joint Clinic,Pitampura,,06:15 PM,08:00 PM,Delhi
241,241,Dr. S.S Sanyal,Orthopedist,48.0,"MS - Orthopaedics, Diploma In Orthopaedics (D. Ortho), MBBS",,,,,"Back Pain, Knee Pain, Joint PainNext ",06:00 PM,08:30 PM,Delhi
242,242,Dr. Vimal Kumar Dakour,Orthopedist,20.0,,₹ 500,₹ 350,Motherhood Clinic,Lajpat Nagar,,08:00 AM,08:00 PM,Delhi
243,243,Dr. Arun Jain,Orthopedist,40.0,"MS - Orthopaedics, Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",₹ 500,₹ 500,Dr ARUN JAIN,Rohini,,11:00 AM,02:00 PM,Delhi
244,244,Dr. Pardeep Bageja,Orthopedist,28.0,"DNB - Orthopaedics, MBBS",,,,,"Joint Replacement, Joint PainNext ",06:00 PM,08:00 PM,Delhi
245,245,Dr. Anuj Jain,Orthopedist,17.0,"MBBS, MS - Orthopaedics, DNB  - Orthopaedics",₹ 800,₹ 500,,,,02:00 PM,04:00 PM,Delhi
246,246,Dr. Akhilesh Rathi,Orthopedist,20.0,"MCh Ortho, DNB Ortho, MS Ortho, MBBS",₹ 700,,Rathi Orthopaedic & Spine Clinic,Dwarka,"Ankle Pain Treatment, Joint Dislocation, Orthopedic SurgeryNext ",06:30 PM,08:30 PM,Delhi
247,247,Dr. Deepak Batra,Orthopedist,32.0,"MBBS, MS - Orthopaedics",₹ 400,,₹ 1,000 onlinePatel Hospital,,11:00 AM,02:00 PM,Delhi
248,248,Dr. Ashu Consul,Orthopedist,25.0,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics, MRCS-Ortho",₹ 600,,The Neo Orthopedic  Clinic,Dwarka,,06:00 PM,09:00 PM,Delhi
249,249,Dr. Amit Shridhar,Orthopedist,24.0,"MBBS, D (ORTHO), DNB (Orthopedics), MCH (Orthopedic), Spine Fellowship DePUY, Medtronics S...read more",₹ 700,,The Spine care Clinic,Pitampura,"Ankle Pain Treatment, Knee Pain, Back PainNext ",06:00 PM,08:00 PM,Delhi
250,250,Dr. Ridhi Narang,Gynaecologist,12.0,"M.B.B.S, MS - Obstetrics and Gynaecology, FMAS.Laparoscopy, Royal College of Obstetricians...read more",,₹ 450,The Clinics- By Surgeons House,Delhi,,09:00 AM,07:00 PM,Delhi
251,251,Dr. Garima Sachdeva,Gynaecologist,,,₹ 500,₹ 350,Pristyn care,Tagore Garden,,10:00 AM,08:00 PM,Delhi
252,252,Dr. Ketaki,Gynaecologist,,,₹ 500,,Pristyn Care Clinic,South Delhi,,05:00 PM,08:00 PM,Delhi
253,253,Dr. Rati Rabra,Gynaecologist,14.0,"MBBS, DGO",₹ 500,,Pristyn Care Clinic,West Delhi,,05:00 PM,08:00 PM,Delhi
254,254,Dr. Nipun Sharma,Gynaecologist,21.0,"MBBS, MS - Obstetrics and Gynaecology",₹ 600,,Kalpavriksh Super Speciality Center,Dwarka Sector 13,,11:00 AM,01:00 PM,Delhi
255,255,Dr. Reena,Gynaecologist,,,₹ 500,₹ 500,Pristyn Care Clinic,Delhi,,05:00 PM,08:00 PM,Delhi
256,256,Dr B,Gynaecologist,,,₹ 500,,Pristyn Care Clinic,Delhi,,05:00 PM,08:00 PM,Delhi
257,257,Dr. Seema Saxena,Gynaecologist,39.0,"MBBS, MS - Obs & Gynae (Gold Medalist)",,,,,,06:00 PM,08:00 PM,Delhi
258,258,Dr. Demo,Gynaecologist,,,₹ 200,₹ 100,Abc Clinic,Khanpur,,09:00 AM,05:00 PM,Delhi
259,259,Dr. Mannan,Gynaecologist,,,,,,,,10:00 AM,05:00 PM,Delhi
260,260,Dr. Shuchi Lakhanpal Kalia,Gynaecologist,,,₹ 500,,Pristyn Care Clinic,Noida,,05:00 PM,08:00 PM,Delhi
261,261,Dr. Arushi Aggarwal,Gynaecologist,15.0,"MBBS, MS - Obstetrics & Gynaecology",₹ 700,,Shubham Hospital,Kalkaji,,02:00 PM,07:30 PM,Delhi
262,262,Dr. Manika Khanna,Gynaecologist,28.0,"MBBS , MD - Obstetrics & Gynaecology, Diploma in advanced gynaecological endoscopy",,₹ 500,Gaudium IVF & Gynac Solution,Janakpuri,Trying to ConceiveNext ,11:00 AM,02:00 PM,Delhi
263,263,Dr. Rakhi Gupta,Gynaecologist,32.0,"FICOG, FICMCH, FIMSA, MD - Obstetrtics & Gynaecology, MBBS",,₹ 800,MI Heart & Women's Health Care Clinic and Diagnostic Centre,Sarita Vihar,"No Periods, Irregular Periods, Painful PeriodsNext ",05:00 PM,08:00 PM,Delhi
264,264,Dr. Yashica Gudesar,Gynaecologist,25.0,"MBBS, DNB - Obstetrics and Gynecology, DGO",₹ 700,₹ 500,Mother & Child Care Clinic,Dwarka,"Pregnancy, Polycystic Ovary Syndrome, Pregnancy QueryNext ",10:00 AM,12:00 PM,Delhi
265,265,Dr. Anju Ahuja,Gynaecologist,41.0,"DGO, MBBS",₹ 800,₹ 600,Ahuja Clinic,Saket,"Delay Periods, No Periods, PregnancyNext ",09:00 AM,11:00 AM,Delhi
266,266,Dr. Seema Sharma,Gynaecologist,32.0,"MBBS, DGO, MD - Obstetrics & Gynaecology, MRCOG",,₹ 500,Srishti Health Care Centre,Rajouri Garden,"No Periods, Irregular Periods, Avoid PregnancyNext ",05:30 PM,07:30 PM,Delhi
267,267,Dr. Jyotsna Gupta,Gynaecologist,23.0,"DNB (Obstetrics and Gynecology), PGDHHM, MBBS, FICMCH, MNAMS (Obstetrics and Gynecology)",₹ 700,₹ 700,Dr. Jyotsna's Clinic (Resi cum Clinic) Delhi,Delhi,Uterine BleedingNext ,07:30 PM,08:30 PM,Delhi
268,268,Dr. Pooja Choudhary,Gynaecologist,23.0,"MD - Obstetrtics & Gynaecology, MBBS",₹ 900,₹ 900,Gynae and ENT Clinic,Safdarjung Enclave,"No Periods, Irregular Periods, Trying to ConceiveNext ",05:00 PM,07:30 PM,Delhi
269,269,Dr. Shabnam,Gynaecologist,20.0,"DNB (Obstetrics and Gynecology) Tr, MBBS, Laparoscopy Training from AIIMS, PCOS Course don...read more",,,,,,11:00 AM,01:00 PM,Delhi
270,270,Dr. Aaditi Acharya,Gynaecologist,18.0,"MBBS, DGO",₹ 600,₹ 600,Wellness Clinic Apollo 24I7,Laxmi Nagar,"Termination Of Pregnancy, Abortion, No PeriodsNext ",05:30 PM,08:00 PM,Delhi
271,271,Dr. Vijay Lakshmi Rawat,Gynaecologist,29.0,"MBBS, MD - Obstetrtics & Gynaecology",,,,,"No Periods, Polycystic Ovary Syndrome, Trying to ConceiveNext ",01:00 PM,02:00 PM,Delhi
272,272,Dr. Seema Sehgal,Gynaecologist,36.0,"Art - Advance Course Infertility, MS - Obstetrics and Gynaecology, MBBS",,₹ 300,Dr Seema Sehgal's Clinic,Delhi,"Irregular Periods, No Periods, InfertilityNext ",06:30 PM,08:30 PM,Delhi
273,273,Dr. Aradhana Kalra Dawar,Gynaecologist,21.0,"MBBS, MS - Obstetrics and Gynaecology, DNB - Obstetrics & Gynecology, Post Graduate Diplom...read more",₹ 500,₹ 200,,,"Fertility, Fertilization, In Vitro Fertilization (IVF) Treatment",11:00 AM,03:00 PM,Delhi
274,274,Dr. Shakuntla Kumar,Gynaecologist,41.0,"Diploma In Endoscopic Surgery, DGO, MBBS",₹ 800,₹ 700,Nulife Hospital,Hakikat Nagar,"Caesarean Section, Pregnancy, SurrogacyNext ",10:00 AM,01:00 PM,Delhi
275,275,Dr. Prerna Gupta,Gynaecologist,20.0,"MBBS, MD - Obstetrtics & Gynaecology, MRCOG , Fellowship In ART",,₹ 400,Dr Prerna Gupta MD AIIMS clinic,Hauz Khas,,08:00 AM,04:00 PM,Delhi
276,276,Dr. Pratibha Gupta,Gynaecologist,24.0,"MBBS, MS - Obstetrics & Gynaecology",₹ 500,₹ 700,Healing Hands,Janakpuri,"Pregnancy, Delivery",11:00 AM,01:00 PM,Delhi
277,277,Dr. Nimmi Rastogi,Gynaecologist,29.0,"DGO, MBBS, Advanced Infertility",,₹ 500,Sarthak Medical Centre,Delhi,"Abortion, Pregnancy Query, Avoid Pregnancy",03:00 PM,05:00 PM,Delhi
278,278,Dr. Rita Bakshi,Gynaecologist,41.0,"MBBS, DGO, MD, Fellowship in Gynae Oncology",,,,,"Trying to Conceive, In Vitro Fertilization (IVF) Treatment, Infertility TreatmentNext ",09:00 AM,06:00 PM,Delhi
279,279,Dr. Sutopa Banerjee,Gynaecologist,27.0,"DNB (Obstetrics and Gynecology), DGO , MBBS",,,,,"Delivery, Gynae Problems, Laparoscopic Surgery (Obs  Gyn)Next ",05:00 PM,08:00 PM,Delhi
280,280,Dr. Chhavi,Gynaecologist,19.0,"MBBS, MS - Obstetrics and Gynaecology, DNB (Obstetrics and Gynecology)",₹ 300,₹ 500,Avni Healthcare,Rohini,"Gynae Problems, Delivery, FertilityNext ",06:00 PM,08:00 PM,Delhi
281,281,Dr. Vandana Gupta,Gynaecologist,39.0,"MS - Obstetrics and Gynaecology, MBBS",₹ 500,₹ 300,Archana Medical Centre,Mayur Vihar Phase 2,"Pregnancy, Polycystic Ovary SyndromeNext ",09:00 AM,01:30 PM,Delhi
282,282,Dr. Indira Das,Gynaecologist,39.0,"MBBS, DNB (Obstetrics and Gynecology), MD - Obstetrtics & Gynaecology",₹ 400,,₹ 3,000 onlineDr Indira's Clinic,"No Periods, Pregnancy, Irregular PeriodsNext ",08:00 PM,09:00 PM,Delhi
283,283,Dr. Vaishali Sharma M D ( A.I.I.M.S),Gynaecologist,18.0,"MD - Obstetrtics & Gynaecology, MBBS, Diploma In Specialised Advanced Gynaecological Endoscopy",,,,,"No Periods, Abortion, Avoid PregnancyNext ",09:00 AM,06:00 PM,Delhi
284,284,Dr. Sheetal Sachdeva,Gynaecologist,23.0,"DNB (Obstetrics & Gynecology), DGO, MBBS",₹ 800,₹ 800,Nest Gynae & Ortho Speciality Clinic,Delhi,"Delivery, Antenatal CareNext ",09:30 AM,10:30 AM,Delhi
285,285,Dr. Jyoti Chugh,Gynaecologist,39.0,"MD - Obstetrtics & Gynaecology, MBBS, DNB (Obstetrics and Gynecology)",₹ 800,,₹ 1,000 onlineSatyam Medical Centre,Gynae ProblemsNext ,10:00 AM,02:30 PM,Delhi
286,286,Dr. Shikha Jain,Gynaecologist,20.0,"FNB Reproductive Medicine, MD -Obstretics & Gynaecology, MBBS, Fellow ship of Indian Colle...read more",₹ 800,₹ 900,DREAMZ IVF,Pitampura,"Pregnancy Problems, Intra-Uterine Insemination (Iui), PregnancyNext ",09:00 AM,01:00 PM,Delhi
287,287,Dr. Gayatri  Bala,Gynaecologist,29.0,"MBBS, DGO, DNB - Obstetrics and Gynecology",,₹ 500,Ayoni Cure De Jouvence,Model Town,"No Periods, Irregular Periods, Pregnancy QueryNext ",09:00 AM,01:00 PM,Delhi
288,288,Dr. Supriya Kumari,Gynaecologist,20.0,"MBBS, DGO, DNB (Obstetrics and Gynecology)",₹ 300,₹ 300,Adarsh Hospital,Rohini,,11:00 AM,02:00 PM,Delhi
289,289,Dr. Usha. M. Kumar,Gynaecologist,35.0,"Diploma in Advance Endoscopy, Royal College of Obstetricians and Gynaecologists (MRCOG), MS, MBBS",,₹ 300,Saket City Hospital,Saket,"Sex Education, Pregnancy Query, AbortionNext ",09:00 AM,11:00 AM,Delhi
290,290,Dr. Ranjana Sharma,Gynaecologist,48.0,"FRCOG (LONDON) (Fellow of Royal College of Obstetricians and Gynaecologists), Royal Colleg...read more",,,,,"Pregnancy, Chromosomal Abnormality Screening, Pregnancy ProblemsNext ",12:00 PM,02:00 PM,Delhi
291,291,Dr. Aastha Gupta,Gynaecologist,14.0,"Advanced Infertility, Advanced Infertility, Diploma in Obstetrics & Gynaecology, MBBS",₹ 900,₹ 400,Delhi IVF & Fertility Center,Bengali Market,"Abortion, Pregnancy Query, InfertilityNext ",09:00 AM,06:00 PM,Delhi
292,292,Dr. Manju Aggarwal,Gynaecologist,32.0,"MBBS , DGO , FIMAS",₹ 800,₹ 500,Arihant Clinic,Delhi,"Sex Education, No Periods, Trying to ConceiveNext ",01:00 PM,04:00 PM,Delhi
293,293,Dr. Deepa Dureja,Gynaecologist,36.0,"MS - Obstetrics and Gynaecology, MBBS",₹ 700,₹ 600,Pulse Medical Centre,Greater Kailash,,12:00 PM,07:00 PM,Delhi
294,294,Dr. Priyata Lal,Gynaecologist,28.0,"FICOG, FICS, MS - Obstetrics and Gynaecology, DNB (Obstetrics and Gynecology), MBBS",₹ 600,,Shreeya Gynae Clinic,Delhi,"Gynae Problems, Termination Of Pregnancy, PregnancyNext ",06:00 PM,08:00 PM,Delhi
295,295,Dr. Shilpi Sachdev,Gynaecologist,25.0,"MBBS, DNB - Obstetrics & Gynecology, Diploma in Laparoscopy, Fellowship in Minimal Access Surgery",₹ 700,₹ 300,Dr. Shilpi Sachdev Clinic,Delhi,,11:00 AM,01:00 PM,Delhi
296,296,Dr. Anushka Madan,Gynaecologist,24.0,"MBBS, MS - Obstetrics and Gynaecology, Diploma In Ultrasound, Fellowship in Reproductive M...read more",,₹ 350,,,"Sex Education, No Periods, Irregular PeriodsNext ",09:30 AM,05:30 PM,Delhi
297,297,Dr. Soni Anand,Gynaecologist,25.0,"DGO, MBBS",₹ 700,₹ 500,Surya Clinic - Dr. Soni Anand,Rohini,"Sex Education, Irregular Periods, Trying to ConceiveNext ",11:00 AM,02:00 PM,Delhi
298,298,Dr. Ruchi Malhotra,Gynaecologist,32.0,"MBBS Bachelor of Medicine and Bachelor of Surgery, DNB - Obstetrics & Gynecology, DGO",₹ 500,₹ 500,FSIVF & Research Center,Azadpur,,10:00 AM,03:00 PM,Delhi
299,299,Dr. Uma,Gynaecologist,36.0,"MS- Gynaecology, MBBS",₹ 400,₹ 300,Mother Clinic,Naraina,"Sex Education, Pregnancy Query, Pregnancy",10:00 AM,12:00 PM,Delhi
300,300,Dr. Rashid Akhtar,Homeopathy,23.0,"MD - Homeopathy, BHMS",₹ 600,₹ 300,,,"Increase height, Body Weakness, DiabetesNext ",06:00 PM,08:00 PM,Delhi
301,301,Dr. Madhav Shyam  Nano Homeopathy Delhi,Homeopathy,33.0,"BHMS, MBAHCS, B.Sc. in Biology",₹ 300,₹ 300,Nano Homeopathy,Dwarka Sector 12,,04:00 PM,08:30 PM,Delhi
302,302,Dr. Mukesh Singh,Homeopathy,23.0,"B.H.M.S., Senior Homeopath Consultant",₹ 500,₹ 350,Mission Chronic Cure,Mayur Vihar,"Gaining Weight, Staying Healthy, Body WeaknessNext ",06:30 PM,09:00 PM,Delhi
303,303,Dr. Sanket Gupta,Homeopathy,15.0,"BHMS, MD-Homeopathy, PGPC -  Preventive Cardiology",,₹ 250,AKGs OVIHAMS MEDICAL CENTER For Homoeo - Psycho Cure N Care With Wellness ( Moti Bagh ),Satya Niketan,"Headaches, Body Weakness, Masturbation AddictionNext ",11:00 AM,02:00 PM,Delhi
304,304,Dr. Swati,Homeopathy,9.0,BHMS,₹ 500,₹ 500,Harmony Homoeo Heal,Dwarka Sector 23,Erection Problems,03:00 PM,07:00 PM,Delhi
305,305,Dr. Mrs Neeraj Gupta,Homeopathy,26.0,"BHMS, MD - Homeopathy, Certificate in Gynaecology & Obestric, Ph.D Homeopathy",₹ 500,₹ 500,Gupta Computerised Homoeopathic Clinic,Shakarpur,"Hair Loss Treatment, Hair Loss, Gynae Problems",11:00 AM,02:00 PM,Delhi
306,306,Dr. Prachi Goel,Homeopathy,15.0,"BHMS, MD, Diploma in Nutrition and Health Education (DNHE), CPY",₹ 500,₹ 300,Dr. Goel's Clinic,Delhi,"Hair Restoration, Hair Loss, Gynae ProblemsNext ",06:00 PM,08:00 PM,Delhi
307,307,Dr. Seema Bali,Homeopathy,39.0,"MD - Homeopathy, BHMS",₹ 0,₹ 100,Homeopathy Health Clinic,Patel Nagar,"Irregular Periods, Hemorrhoids, Gaining WeightNext ",10:00 AM,11:00 AM,Delhi
308,308,Dr. Nandini Sharma,Homeopathy,33.0,"BHMS, MD - Homeopathy, PhD",,₹ 300,Dr. Nandini Sharma's Clinic,New Delhi,"Irregular Periods, Black Spots on Skin, Acne/PimplesNext ",12:00 PM,03:00 PM,Delhi
309,309,Dr. Mani Sethi Sawhney,Homeopathy,35.0,BHMS,₹ 500,₹ 500,Dr. Mani's Homoeo Wellness - SBL Sponsored Clinic,Pitampura,"Increase height, Female Hair Loss, HeadachesNext ",12:00 PM,01:00 PM,Delhi
310,310,Dr. Hemant Kumar Mittal,Homeopathy,16.0,BHMS,₹ 800,₹ 500,Healing Touch Homoeopathy,Rohini,"Diabetes, Vomiting, HeadachesNext ",05:00 PM,09:00 PM,Delhi
311,311,Dr. (Prof) Ravpreet,Homeopathy,13.0,"BHMS, MD - Homeopathy",₹ 200,₹ 500,Health And You Homoeopathic Clinic,Delhi,"Acidity, Nausea, Blocked NoseNext ",06:00 PM,08:30 PM,Delhi
312,312,Dr. Rajeev Kumar,Homeopathy,30.0,"BHMS, MD- Oncology",,₹ 500,,,,11:00 AM,02:00 PM,Delhi
313,313,Dr. Sunil Kumar Dwivedi,Homeopathy,19.0,"BHMS, MD - Homeopathy",₹ 400,₹ 300,S.D Homoeopathy Multispeciality Clinic,Dwarka,,05:00 PM,09:00 PM,Delhi
314,314,Dr. A.K Gupta,Homeopathy,47.0,"MD (Homoeopathy), DHMS",₹ 700,₹ 500,AKGs OVIHAMS MEDICAL CENTER For Homoeo - Psycho Cure n Care With Wellness ( Rajouri Garden ),Rajouri Garden,,06:00 PM,08:00 PM,Delhi
315,315,Dr. Shaleen Khurana,Homeopathy,22.0,BHMS,₹ 300,₹ 300,Homeo Care Clinic,Paschim Vihar,,05:00 PM,06:30 PM,Delhi
316,316,Dr. Chhavi Bansal,Homeopathy,16.0,"Diploma in Diet and Nutrition, M.Sc - Psychology, BHMS, PG Hom (Lon)",₹ 700,₹ 600,Homeosure - Home of Homeopathy and Wellness,Raj Nagar,"Body Weakness, Difficulty Sleeping, Hair FallNext ",06:00 PM,08:00 PM,Delhi
317,317,Dr. Ranjana Gupta,Homeopathy,27.0,BHMS,₹ 500,₹ 700,Sanjeevni Homeo Clinic,Dwarka,"Irregular Periods, Weight Loss, Body WeaknessNext ",06:00 PM,08:00 PM,Delhi
318,318,Dr. Prof. Neeraj Pasricha,Homeopathy,42.0,"MD-Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery), FCAHM",,₹ 300,Pasricha HomeoCare Clinic,Paschim Vihar,,06:30 PM,08:30 PM,Delhi
319,319,Dr. Dheeraj Wadhwa,Homeopathy,14.0,"BHMS, MD",₹ 300,₹ 300,Wadhwa Healing Touch Homoeopathic Clinics,Krishna Nagar,,11:00 AM,05:00 PM,Delhi
320,320,Dr. Mansi Arya,Homeopathy,18.0,"BHMS, C.S.D.(Skin Diseases), M.D.(Medicine), M.Sc. In Counselling & Psychotherapy",₹ 350,₹ 200,SBL Sponsored Homoeopathic Clinic (Shivalaya Wellness Centre),Malviya Nagar,"Body Weakness, Sugar, Greying Hair",12:00 PM,08:30 PM,Delhi
321,321,Dr. Bela Chaudhry,Homeopathy,36.0,"BHMS, MD - Homeopathy",,₹ 300,Dr. Bela Homeopathic Clinic,Punjabi Bagh,"Acne/Pimples, Body Weakness, Cold CoughNext ",04:00 PM,07:00 PM,Delhi
322,322,Dr. Mohit Gupta,Homeopathy,18.0,BHMS,₹ 300,₹ 300,SBL SPONSORED GUPTA HOMOEO CLINIC,Delhi,"Sinusitis, Heavy Periods, HemorrhoidsNext ",05:00 PM,09:00 PM,Delhi
323,323,Dr. Ravinder Kumar,Homeopathy,15.0,BHMS,₹ 200,₹ 200,Anand Homoeo Clinic,Dwarka,"Weight Management, Viral Fever Treatment, Hair FallNext ",09:30 AM,01:30 PM,Delhi
324,324,Dr. Suchindra Sachdeva,Homeopathy,36.0,BHMS,,₹ 200,Dr. Suchindra Sachdeva's Clinic,Sukhdev Vihar,"Constipation, Body Weakness, DiabetesNext ",10:00 AM,12:00 PM,Delhi
325,325,Dr. Jigyasa Wadhwa,Homeopathy,14.0,"BHMS, MD - Homeopathy",₹ 500,₹ 300,Wadhwa Healing Touch Homoeopathic Clinic,Krishna Nagar,,11:00 AM,02:00 PM,Delhi
326,326,Dr. Vishwajeet Singh,Homeopathy,19.0,BHMS,₹ 300,₹ 300,,,"Removal of Corns, Acidity",,,Delhi
327,327,Dr. Aditya Aggarwal,Homeopathy,14.0,"BHMS, MD - Homeopathy",₹ 500,₹ 300,Aditya Homeopathy Clinic,Patparganj,,05:00 PM,08:00 PM,Delhi
328,328,Dr. Harjot Kaur,Homeopathy,13.0,BHMS,₹ 200,₹ 180,,,"Body Weakness, Increase height, Sex Education",10:00 AM,05:00 PM,Delhi
329,329,Dr. Monika Maheshwari,Homeopathy,16.0,BHMS,₹ 500,₹ 200,Dr Monika Maheshwari,Delhi,"Foot Pain, Greying Hair, RashesNext ",04:30 PM,08:00 PM,Delhi
330,330,Dr. Jyoti Singh,Homeopathy,12.0,"BHMS, MA Psychology & Traning Counselling",₹ 900,₹ 300,Tamaria Clinic,Delhi,,10:00 AM,08:00 PM,Delhi
331,331,Dr. Sushil Bahl,Homeopathy,45.0,"DHMS, DI.HOM",₹ 250,₹ 500,Sushil Bahl Clinic,Paschim Vihar,"Weight Loss, Gaining Weight, AcidityNext ",10:00 AM,01:00 PM,Delhi
332,332,Dr. Josy Joy A,Homeopathy,26.0,BHMS,₹ 200,₹ 200,,,"Skin Care, Hair RestorationNext ",10:45 AM,07:30 PM,Delhi
333,333,Dr. Sandeep Sarao,Homeopathy,15.0,"BHMS, PG Hom (Lon)",₹ 650,₹ 400,Dr. Sarao's Homoeo CURE,Shakarpur,"Vertigo, Vertigo Treatment, Hair FallNext ",12:00 PM,03:00 PM,Delhi
334,334,Dr. Ankita Kakkar,Homeopathy,12.0,"BHMS, MA - Psychology",₹ 300,,₹ 1,999 onlineTattva Homeopathy And Skin Clinic,,02:00 PM,08:00 PM,Delhi
335,335,Dr. Saurav Arora,Homeopathy,18.0,"BHMS, MD - Homeopathy",₹ 400,,₹ 1,000 onlineArora's Homeopathic Clinic,"Glowing Skin, Acne/PimplesNext ",05:00 PM,08:00 PM,Delhi
336,336,Dr. Ashish Shanker,Homeopathy,29.0,BHMS,₹ 100,₹ 150,Shanker's Homoeopathic centre For Immunity care,West Enclave,,06:00 PM,09:30 PM,Delhi
